VERSION, FILE_NAME, LOC, LOC_TOUCHED, NUMBER_OF_REVISIONS, LOC_ADDED, AVG_LOC_ADDED, NUMBER_OF_AUTHORS, MAX_LOC_ADDED, TOTAL_LOC_REMOVED, MAX_LOC_REMOVED, AVG_LOC_TOUCHED, BUGGY
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,87,68,3,63,21.0,2,58,5,3,22,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,250,137,4,130,32.5,2,122,7,4,34,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,186,19,1,14,14.0,1,14,5,5,19,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,597,255,5,243,48.6,2,224,12,6,51,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,1462,704,4,645,161.25,2,585,59,48,176,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,1007,414,5,390,78.0,2,365,24,14,82,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,198,117,4,108,27.0,2,98,9,4,29,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,17,41,1,41,41.0,1,41,0,0,41,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,67,92,2,79,39.5,2,65,13,13,46,NO
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,51,56,3,55,18.333333333333332,3,45,1,1,18,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,12,55,2,51,25.5,2,47,4,4,27,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,372,223,4,203,50.75,3,185,20,16,55,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,26,49,1,49,49.0,1,49,0,0,49,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,24,50,1,50,50.0,1,50,0,0,50,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,121,102,2,100,50.0,2,97,2,2,51,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,72,138,1,138,138.0,1,138,0,0,138,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,18,43,1,43,43.0,1,43,0,0,43,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,18,42,1,42,42.0,1,42,0,0,42,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,29,56,1,56,56.0,1,56,0,0,56,NO
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,30,53,2,52,26.0,2,51,1,1,26,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,18,41,1,41,41.0,1,41,0,0,41,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,144,118,2,111,55.5,2,104,7,7,59,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,29,54,1,54,54.0,1,54,0,0,54,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,228,164,2,163,81.5,2,162,1,1,82,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,11130,18077,2,12222,6111.0,2,6127,5855,5855,9038,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,180,157,2,155,77.5,2,153,2,2,78,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,17,43,1,43,43.0,1,43,0,0,43,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,28,43,2,42,21.0,2,41,1,1,21,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,181,205,3,155,51.666666666666664,2,104,50,48,68,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,328,191,5,148,29.6,3,103,43,39,38,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,209,160,4,126,31.5,3,91,34,31,40,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,205,201,3,151,50.333333333333336,2,100,50,48,67,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,18,45,1,45,45.0,1,45,0,0,45,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,394,291,2,290,145.0,2,289,1,1,145,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,21,38,2,35,17.5,2,31,3,3,19,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,74,111,1,111,111.0,1,111,0,0,111,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,20,37,2,36,18.0,2,35,1,1,18,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,47,81,1,81,81.0,1,81,0,0,81,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,6,27,1,27,27.0,1,27,0,0,27,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,6,28,1,28,28.0,1,28,0,0,28,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,18,31,2,30,15.0,2,29,1,1,15,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,1226,634,4,600,150.0,3,561,34,32,158,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,74,96,2,80,40.0,2,64,16,16,48,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,10,31,2,30,15.0,2,29,1,1,15,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,72,66,2,65,32.5,2,64,1,1,33,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,12,43,2,40,20.0,2,37,3,3,21,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,82,90,2,79,39.5,2,68,11,11,45,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,298,176,3,165,55.0,2,153,11,9,58,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,90,74,2,73,36.5,2,72,1,1,37,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,1586,415,6,400,66.66666666666667,3,364,15,8,69,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,74,80,2,78,39.0,2,76,2,2,40,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,322,167,3,163,54.333333333333336,2,158,4,2,55,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,1477,1035,3,886,295.3333333333333,2,736,149,144,345,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,94,78,2,76,38.0,2,74,2,2,39,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,160,100,3,97,32.333333333333336,2,93,3,2,33,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,4,22,1,22,22.0,1,22,0,0,22,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,877,451,3,439,146.33333333333334,2,426,12,10,150,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,32,62,1,62,62.0,1,62,0,0,62,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,56,60,2,59,29.5,2,58,1,1,30,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,24,101,2,96,48.0,2,91,5,5,50,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,8,29,2,28,14.0,2,27,1,1,14,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,74,81,2,79,39.5,2,77,2,2,40,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,1009,780,3,742,247.33333333333334,2,703,38,36,260,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,20,71,2,67,33.5,2,63,4,4,35,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,15,37,1,37,37.0,1,37,0,0,37,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,54,66,2,65,32.5,2,64,1,1,33,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,158,130,2,127,63.5,2,124,3,3,65,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,454,174,4,167,41.75,2,159,7,3,43,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,26,46,2,41,20.5,2,36,5,5,23,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,61,62,2,60,30.0,2,57,2,2,31,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,35,62,1,62,62.0,1,62,0,0,62,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,294,154,4,142,35.5,2,129,12,8,38,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,83,78,2,76,38.0,2,73,2,2,39,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,163,89,3,86,28.666666666666668,2,82,3,2,29,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,41,74,1,74,74.0,1,74,0,0,74,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,28,52,2,50,25.0,2,48,2,2,26,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,50,62,2,61,30.5,2,60,1,1,31,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,111,82,3,76,25.333333333333332,2,70,6,4,27,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,554,221,4,202,50.5,2,180,19,12,55,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,24,53,1,53,53.0,1,53,0,0,53,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,1216,492,4,472,118.0,2,450,20,17,123,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,16,39,1,39,39.0,1,39,0,0,39,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,86,86,2,82,41.0,2,78,4,4,43,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,56,66,2,65,32.5,2,64,1,1,33,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,10,33,2,32,16.0,2,31,1,1,16,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,14,65,2,61,30.5,2,57,4,4,32,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,26,118,2,111,55.5,2,104,7,7,59,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,11,32,1,32,32.0,1,32,0,0,32,NO
