"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java","62","100","1","100","100.0","1","100","0","0","100","false"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java","143","258","1","258","258.0","1","258","0","0","258","false"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java","65","101","1","101","101.0","1","101","0","0","101","false"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java","94","178","1","178","178.0","1","178","0","0","178","false"
"1","client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java","11","32","1","32","32.0","1","32","0","0","32","false"
"1","client/src/main/java/org/apache/syncope/annotation/SchemaList.java","7","28","1","28","28.0","1","28","0","0","28","false"
"1","client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java","21","45","1","45","45.0","1","45","0","0","45","false"
"1","client/src/main/java/org/apache/syncope/client/SyncopeConstants.java","17","38","2","35","17.5","2","28","3","3","19","false"
"1","client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java","22","35","2","34","17.0","2","33","1","1","17","false"
"1","client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java","115","89","3","82","27.333333333333332","2","75","7","6","29","false"
"1","client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java","270","271","2","261","130.5","2","211","10","10","135","false"
"1","client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java","50","87","1","87","87.0","1","87","0","0","87","false"
"1","client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java","49","82","1","82","82.0","1","82","0","0","82","false"
"1","client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java","14","45","1","45","45.0","1","45","0","0","45","false"
"1","client/src/main/java/org/apache/syncope/client/mod/RoleMod.java","90","143","1","143","143.0","1","143","0","0","143","false"
"1","client/src/main/java/org/apache/syncope/client/mod/UserMod.java","58","98","1","98","98.0","1","98","0","0","98","false"
"1","client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java","20","46","1","46","46.0","1","46","0","0","46","false"
"1","client/src/main/java/org/apache/syncope/client/report/ReportletConf.java","6","32","1","32","32.0","1","32","0","0","32","false"
"1","client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java","61","102","1","102","102.0","1","102","0","0","102","false"
"1","client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java","70","112","1","112","112.0","1","112","0","0","112","false"
"1","client/src/main/java/org/apache/syncope/client/search/AttributeCond.java","46","85","1","85","85.0","1","85","0","0","85","false"
"1","client/src/main/java/org/apache/syncope/client/search/MembershipCond.java","25","57","1","57","57.0","1","57","0","0","57","false"
"1","client/src/main/java/org/apache/syncope/client/search/NodeCond.java","141","210","1","210","210.0","1","210","0","0","210","false"
"1","client/src/main/java/org/apache/syncope/client/search/ResourceCond.java","14","41","1","41","41.0","1","41","0","0","41","false"
"1","client/src/main/java/org/apache/syncope/client/search/SyncopeUserCond.java","9","34","1","34","34.0","1","34","0","0","34","false"
"1","client/src/main/java/org/apache/syncope/client/to/AbstractAttributableTO.java","92","140","1","140","140.0","1","140","0","0","140","false"
"1","client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java","49","85","1","85","85.0","1","85","0","0","85","false"
"1","client/src/main/java/org/apache/syncope/client/to/AccountPolicyTO.java","22","49","1","49","49.0","1","49","0","0","49","false"
"1","client/src/main/java/org/apache/syncope/client/to/AttributeTO.java","45","111","1","111","111.0","1","111","0","0","111","false"
"1","client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java","19","46","1","46","46.0","1","46","0","0","46","false"
"1","client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java","52","91","1","91","91.0","1","91","0","0","91","false"
"1","client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java","100","151","1","151","151.0","1","151","0","0","151","false"
"1","client/src/main/java/org/apache/syncope/client/to/ConnObjectTO.java","42","73","1","73","73.0","1","73","0","0","73","false"
"1","client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java","18","44","1","44","44.0","1","44","0","0","44","false"
"1","client/src/main/java/org/apache/syncope/client/to/LoggerTO.java","20","47","1","47","47.0","1","47","0","0","47","false"
"1","client/src/main/java/org/apache/syncope/client/to/MembershipTO.java","35","66","1","66","66.0","1","66","0","0","66","false"
"1","client/src/main/java/org/apache/syncope/client/to/NotificationTO.java","96","153","1","153","153.0","1","153","0","0","153","false"
"1","client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java","62","105","1","105","105.0","1","105","0","0","105","false"
"1","client/src/main/java/org/apache/syncope/client/to/PasswordPolicyTO.java","22","49","1","49","49.0","1","49","0","0","49","false"
"1","client/src/main/java/org/apache/syncope/client/to/PolicyTO.java","24","53","1","53","53.0","1","53","0","0","53","false"
"1","client/src/main/java/org/apache/syncope/client/to/PropagationTO.java","34","125","1","125","125.0","1","125","0","0","125","false"
"1","client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java","55","98","1","98","98.0","1","98","0","0","98","false"
"1","client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java","15","40","1","40","40.0","1","40","0","0","40","false"
"1","client/src/main/java/org/apache/syncope/client/to/ReportTO.java","202","169","2","169","84.5","2","141","0","0","84","false"
"1","client/src/main/java/org/apache/syncope/client/to/ResourceTO.java","147","235","1","235","235.0","1","235","0","0","235","false"
"1","client/src/main/java/org/apache/syncope/client/to/RoleTO.java","107","177","1","177","177.0","1","177","0","0","177","false"
"1","client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java","41","74","1","74","74.0","1","74","0","0","74","false"
"1","client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java","54","115","1","115","115.0","1","115","0","0","115","false"
"1","client/src/main/java/org/apache/syncope/client/to/SchemaTO.java","157","134","2","134","67.0","2","124","0","0","67","false"
"1","client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java","22","49","1","49","49.0","1","49","0","0","49","false"
"1","client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java","60","104","1","104","104.0","1","104","0","0","104","false"
"1","client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java","11","34","1","34","34.0","1","34","0","0","34","false"
"1","client/src/main/java/org/apache/syncope/client/to/TaskTO.java","99","101","2","101","50.5","2","72","0","0","50","false"
